seed,year,metric,value
47,30.0,ltfu_rate_primary_pct,3.0427000767067245
47,30.0,ltfu_rate_secondary_pct,1.0699588477366255
47,31.0,annual_realized_revenue_usd,47183100.0
47,31.0,annual_foregone_revenue_usd,7788000.0
47,31.0,revenue_capture_rate_pct,80.1969705058318
47,31.0,population_capture_rate_pct,58.72352791601584
47,31.0,ltfu_rate_primary_pct,3.0743535815909935
47,31.0,ltfu_rate_secondary_pct,1.0188087774294672
47,32.0,annual_realized_revenue_usd,39202800.0
47,32.0,annual_foregone_revenue_usd,6845700.0
47,32.0,revenue_capture_rate_pct,80.40211466605592
47,32.0,population_capture_rate_pct,58.72334435920895
47,32.0,ltfu_rate_primary_pct,3.0860498561840846
47,32.0,ltfu_rate_secondary_pct,1.051840721262209
47,33.0,annual_realized_revenue_usd,38528200.0
47,33.0,annual_foregone_revenue_usd,6336600.0
47,33.0,revenue_capture_rate_pct,80.6151179424592
47,33.0,population_capture_rate_pct,58.78736122971819
47,33.0,ltfu_rate_primary_pct,3.126089482858803
47,33.0,ltfu_rate_secondary_pct,1.0137581462708183
47,34.0,annual_realized_revenue_usd,41724300.0
47,34.0,annual_foregone_revenue_usd,7062300.0
47,34.0,revenue_capture_rate_pct,80.81439642935003
47,34.0,population_capture_rate_pct,58.755302226935314
47,34.0,ltfu_rate_primary_pct,3.1359278059785676
47,34.0,ltfu_rate_secondary_pct,0.9688581314878892
47,35.0,annual_realized_revenue_usd,40236800.0
47,35.0,annual_foregone_revenue_usd,6200100.0
47,35.0,revenue_capture_rate_pct,81.03143086289288
47,35.0,population_capture_rate_pct,58.833010960670535
47,35.0,ltfu_rate_primary_pct,3.1616438356164385
47,35.0,ltfu_rate_secondary_pct,1.1295681063122924
47,36.0,annual_realized_revenue_usd,40150000.0
47,36.0,annual_foregone_revenue_usd,6452100.0
47,36.0,revenue_capture_rate_pct,81.21582871048633
47,36.0,population_capture_rate_pct,58.87407872040144
47,36.0,ltfu_rate_primary_pct,3.1696143191988067
47,36.0,ltfu_rate_secondary_pct,1.1979823455233292
47,37.0,annual_realized_revenue_usd,38295300.0
47,37.0,annual_foregone_revenue_usd,6124200.0
47,37.0,revenue_capture_rate_pct,81.38156506987272
47,37.0,population_capture_rate_pct,58.936371689525615
47,37.0,ltfu_rate_primary_pct,3.166787602363429
47,37.0,ltfu_rate_secondary_pct,1.1543134872417984
47,38.0,annual_realized_revenue_usd,44580900.0
47,38.0,annual_foregone_revenue_usd,7128900.0
47,38.0,revenue_capture_rate_pct,81.56119957758861
47,38.0,population_capture_rate_pct,58.9043131892631
47,38.0,ltfu_rate_primary_pct,3.1792490916431166
47,38.0,ltfu_rate_secondary_pct,1.1723329425556859
47,39.0,annual_realized_revenue_usd,38804700.0
47,39.0,annual_foregone_revenue_usd,6779100.0
47,39.0,revenue_capture_rate_pct,81.67438782678029
47,39.0,population_capture_rate_pct,58.89268546939248
47,39.0,ltfu_rate_primary_pct,3.156652571540958
47,39.0,ltfu_rate_secondary_pct,1.135718341851221
47,40.0,annual_realized_revenue_usd,34029400.0
47,40.0,annual_foregone_revenue_usd,6973800.0
47,40.0,revenue_capture_rate_pct,81.71095418351406
47,40.0,population_capture_rate_pct,58.87499647201603
47,40.0,ltfu_rate_primary_pct,3.168744007670182
47,40.0,ltfu_rate_secondary_pct,1.1031439602868174
47,41.0,annual_realized_revenue_usd,36849300.0
47,41.0,annual_foregone_revenue_usd,6318900.0
47,41.0,revenue_capture_rate_pct,81.81459918860882
47,41.0,population_capture_rate_pct,58.91105477791249
47,41.0,ltfu_rate_primary_pct,3.166510757717493
47,41.0,ltfu_rate_secondary_pct,1.0626992561105206
47,42.0,annual_realized_revenue_usd,35859700.0
47,42.0,annual_foregone_revenue_usd,7646400.0
47,42.0,revenue_capture_rate_pct,81.83156338630005
47,42.0,population_capture_rate_pct,58.83459151599817
47,42.0,ltfu_rate_primary_pct,3.1872146118721463
47,42.0,ltfu_rate_secondary_pct,1.0298661174047374
47,43.0,annual_realized_revenue_usd,36573900.0
47,43.0,annual_foregone_revenue_usd,6761400.0
47,43.0,revenue_capture_rate_pct,81.90073309106599
47,43.0,population_capture_rate_pct,58.84884911157187
47,43.0,ltfu_rate_primary_pct,3.228971545803229
47,43.0,ltfu_rate_secondary_pct,0.999000999000999
47,44.0,annual_realized_revenue_usd,38837700.0
47,44.0,annual_foregone_revenue_usd,6159600.0
47,44.0,revenue_capture_rate_pct,82.02082441535262
47,44.0,population_capture_rate_pct,58.904777797745886
47,44.0,ltfu_rate_primary_pct,3.2426778242677825
47,44.0,ltfu_rate_secondary_pct,0.970402717127608
47,45.0,annual_realized_revenue_usd,40189000.0
47,45.0,annual_foregone_revenue_usd,6407400.0
47,45.0,revenue_capture_rate_pct,82.13677891725813
47,45.0,population_capture_rate_pct,58.93758633680773
47,45.0,ltfu_rate_primary_pct,3.255774311770221
47,45.0,ltfu_rate_secondary_pct,0.9389671361502347
47,46.0,annual_realized_revenue_usd,37213700.0
47,46.0,annual_foregone_revenue_usd,6637500.0
47,46.0,revenue_capture_rate_pct,82.20538083650573
47,46.0,population_capture_rate_pct,58.958855626013865
47,46.0,ltfu_rate_primary_pct,3.2933133233283307
47,46.0,ltfu_rate_secondary_pct,0.9149130832570905
47,47.0,annual_realized_revenue_usd,42541300.0
47,47.0,annual_foregone_revenue_usd,6354300.0
47,47.0,revenue_capture_rate_pct,82.3363301838704
47,47.0,population_capture_rate_pct,58.9991093565703
47,47.0,ltfu_rate_primary_pct,3.32109343125255
47,47.0,ltfu_rate_secondary_pct,0.8904719501335708
47,48.0,annual_realized_revenue_usd,39065800.0
47,48.0,annual_foregone_revenue_usd,6580200.0
47,48.0,revenue_capture_rate_pct,82.41701148279333
47,48.0,population_capture_rate_pct,59.01631613694237
47,48.0,ltfu_rate_primary_pct,3.3359968038353975
47,48.0,ltfu_rate_secondary_pct,0.9122502172024327
47,49.0,annual_realized_revenue_usd,36440900.0
47,49.0,annual_foregone_revenue_usd,6619800.0
47,49.0,revenue_capture_rate_pct,82.46760984640038
47,49.0,population_capture_rate_pct,59.03828823624558
47,49.0,ltfu_rate_primary_pct,3.3816046966731896
47,49.0,ltfu_rate_secondary_pct,0.8871989860583016
47,50.0,annual_realized_revenue_usd,35168900.0
47,50.0,annual_foregone_revenue_usd,6743700.0
47,50.0,revenue_capture_rate_pct,82.49905709825948
47,50.0,population_capture_rate_pct,59.0518901044144
47,50.0,ltfu_rate_primary_pct,3.425130408100644
47,50.0,ltfu_rate_secondary_pct,0.8624229979466119
47,51.0,annual_realized_revenue_usd,34267500.0
47,51.0,annual_foregone_revenue_usd,6301200.0
47,51.0,revenue_capture_rate_pct,82.53974318261493
47,51.0,population_capture_rate_pct,59.087273373622466
47,51.0,ltfu_rate_primary_pct,3.4368654583740694
47,51.0,ltfu_rate_secondary_pct,0.8406725380304243
47,52.0,annual_realized_revenue_usd,41975800.0
47,52.0,annual_foregone_revenue_usd,6788400.0
47,52.0,revenue_capture_rate_pct,82.62553236922173
47,52.0,population_capture_rate_pct,59.10587004381281
47,52.0,ltfu_rate_primary_pct,3.492403009293406
47,52.0,ltfu_rate_secondary_pct,0.9001956947162426
